Ano,Valor Real,Variância,Janela de Média(3),Regressão Linear,Random Forest,ARIMA
2021,694.0,766.6224251204618,657.3666666666667,690.300476190476,664.6990000000014,690.1437973230543
2022,706.6,857.4448502409236,661.8222222222222,704.319567099567,664.6990000000014,704.4567592112905
2023,719.1,948.2672753613855,664.9962962962962,718.338658008658,664.6990000000014,718.7389519528763
