Modelo,RMSE,MAE,Bias,MAPE,R²
Variância,163.85545008853057,150.87818357425695,150.87818357425695,21.226977915102974,
Janela de Média(3),45.73205020655767,45.17160493827165,-45.17160493827165,6.379820722371803,
Regressão Linear,2.547318345397271,2.247099567099667,-2.247099567099667,0.32056003219693463,0.9382029197528334
Random Forest,43.103407456176996,41.86766666666525,-41.86766666666525,5.905714404633124,
ARIMA,2.555656201213508,2.1201638375929783,-2.1201638375929783,0.3030581763069993,0.9377977105572269
